"wl","gt_s","gt","g_s","r_s","g","r"
598,20.6016516636821,10.0334068968119,23.2653047396558,19.9054177245158,11.2017502424471,1.08675389533573
599,20.5366378803693,10.0451003699259,23.2684027435751,19.9512591755535,11.2199982016715,1.18310141675766
600,20.4751306528766,10.0398448607649,23.2617662718789,19.9871412594061,11.2380467133763,1.27438794993132
601,20.4098177466919,10.0148342786823,23.2427724841719,20.0063722881332,11.2454639584143,1.35707478865745
602,20.3348016933215,9.97623201776673,23.2139024926344,20.0082989399485,11.2349308769303,1.43309653804665
603,20.2550515019602,9.92945711606017,23.1792485083855,19.9993812450662,11.2138128184758,1.50680858605448
604,20.1755361818029,9.87992861160456,23.1429027425442,19.9860792337005,11.1894751326024,1.58256632063649
605,20.1012247420444,9.83306554244184,23.1089574062296,19.9748529360655,11.1692831688615,1.66472512974824
606,20.0370861918796,9.79428694661398,23.0815047105608,19.9721623823754,11.1606022768046,1.7576404013453
607,19.9880895405034,9.76901186216292,23.0646368666569,19.9844676028443,11.1707978059833,1.8656675233832
608,19.9517503420454,9.74794839458221,23.0530374277626,20.0071661594751,11.2004681366239,1.98934681543248
609,19.9212706836363,9.72099089261694,23.0394115103941,20.0308846420596,11.241746271912,2.12388589809197
610,19.8951493739717,9.69233775918639,23.024883670578,20.0549266224952,11.2892994958385,2.26564111085972
611,19.8718852217477,9.66618739720982,23.010578464341,20.0785956726794,11.3377950923941,2.41096879323377
612,19.8499770356602,9.6467382096065,22.9976204477099,20.1011953645097,11.3819003455694,2.55622528471217
613,19.8279236244049,9.63818859929571,22.9871341767111,20.1220292698834,11.4162825393552,2.69776692479298
614,19.8156970008255,9.65031061937407,22.9858513300721,20.1471562568108,11.4513337974361,2.84708024080511
615,19.8192095586569,9.68352111699874,22.9961077869372,20.180389193268,11.4967964553882,3.01263414342482
616,19.8308706779316,9.72798568617975,23.0124344039586,20.217662651102,11.5463631150387,3.1862585471712
617,19.843089738682,9.77386992092716,23.0293620377883,20.2549112021598,11.5937263782151,3.35978336656333
618,19.8482761209407,9.81133941525101,23.0414215450786,20.2880694182882,11.6325788467447,3.52503851612029
619,19.8388392047402,9.83055976316134,23.0431437824816,20.3130718713342,11.656613122455,3.67385391036116
620,19.8164681016108,9.84702086114457,23.0361697026589,20.3314846466632,11.6644046659646,3.81123482530613
621,19.7892571423817,9.87672568333381,23.0263148752016,20.347789726307,11.6613791648212,3.94735071987178
622,19.7592235360333,9.91060944020918,23.0143720821559,20.3622955271117,11.6515045612451,4.08177778292174
623,19.7283844915461,9.93960734225082,23.001134105568,20.3753104659234,11.6387487974568,4.21409220331964
624,19.6987572179006,9.95465459993884,22.9873937274843,20.3871429595881,11.6270798156768,4.34387016992913
625,19.6723589240772,9.94668642375337,22.973943729951,20.398101424952,11.6204655581255,4.47068787161382
626,19.6493914537276,9.91633887104843,22.9612167181012,20.4106956705266,11.6161090617893,4.59312749948346
627,19.6277717788617,9.87192805319899,22.9485709141703,20.4256410588838,11.6088782195997,4.71047380686664
628,19.6060898009967,9.81590926171668,22.9351875258573,20.4405543379605,11.5992382576952,4.82335682595537
629,19.5829354216502,9.75073778811311,22.9202477608613,20.4530522556936,11.587654402214,4.93240658894162
630,19.5568985423397,9.67886892389988,22.9029328268815,20.4607515600197,11.5745918792947,5.03825312801737
631,19.5265690645826,9.6027579605886,22.882423931617,20.4612689988758,11.5605159150756,5.14152647537462
632,19.4905368898964,9.52486018969089,22.8579022827669,20.4522213201987,11.5458917356951,5.24285666320534
633,19.4678494326937,9.44826368739033,22.8448583383106,20.4526508901056,11.5526945008889,5.36109954187376
634,19.4682057609331,9.37176692196456,22.8506159190417,20.4733198215879,11.5895055612418,5.50370880980784
635,19.4761732564511,9.2913907730663,22.8621062768815,20.4994244828945,11.6366994291656,5.65421127129517
636,19.4763193010839,9.20315612034826,22.8662606637509,20.5161612422737,11.6746506170721,5.79613373062333
637,19.4532112766681,9.10308384346313,22.850010331571,20.5087264679742,11.6837336373731,5.91300299207991
638,19.3914165650399,8.98719482206363,22.8002865322629,20.4623165282446,11.6443230024805,5.9883458599525
639,19.2873585862035,8.84039514609043,22.7124973232515,20.3654627670477,11.5584627016034,6.01440791975215
640,19.1541525669661,8.66044257453245,22.5972840649976,20.2272617228961,11.4460710992213,6.00383235454809
641,19.0014035993691,8.46263549061478,22.4644279639756,20.0637575558627,11.3143342706516,5.97074236496511
642,18.8387167754533,8.26227227756253,22.3237102266601,19.8909944260203,11.1704382912114,5.92926115162801
643,18.67569718726,8.07465131860077,22.1849120595255,19.725016493442,11.0215692362181,5.89351191516161
644,18.5219499268303,7.91507099695461,22.0578146690464,19.5818679182008,10.8749131809887,5.87761785619069
645,18.3542258285782,7.77313843272839,21.9294342591914,19.4412942732427,10.7063827484836,5.86252174872758
646,18.1536929838513,7.62971399781343,21.7847646008498,19.2795664272327,10.4987050439072,5.82648286248204
647,17.9365823700913,7.48697595311531,21.630553250877,19.1075164838214,10.2692878659431,5.77959914162501
648,17.7191249647397,7.34710255953959,21.4735477661286,18.9359765466597,10.035539013275,5.73196853032746
